task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,elapsed,llm_calls,error
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,0,0.92,True,549,7626,8175,77.42,1,""
t-CONTENT-H-03,content,high_coupling,team,deepseek-v4-flash,0,0.6512,False,13299,19892,33191,181.93,4,""
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,1,0.92,True,549,8192,8741,76.46,1,""
t-CONTENT-H-03,content,high_coupling,team,deepseek-v4-flash,1,0.7137,True,13269,15793,29062,160.67,4,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,0,0.8184,True,511,8191,8702,85.07,1,""
t-CONTENT-L-01,content,low_coupling,team,deepseek-v4-flash,0,0.9122,True,5414,13869,19283,117.13,3,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,1,0.8653,True,511,2264,2775,21.56,1,""
t-CONTENT-L-01,content,low_coupling,team,deepseek-v4-flash,1,0.8731,True,4003,11308,15311,95.3,3,""
t-CONTENT-M-02,content,medium_coupling,single,deepseek-v4-flash,0,0.82,True,384,1522,1906,16.93,1,""
t-CONTENT-M-02,content,medium_coupling,team,deepseek-v4-flash,0,0.7144,True,1465,5636,7101,60.87,3,""
t-CONTENT-M-02,content,medium_coupling,single,deepseek-v4-flash,1,0.92,True,384,1718,2102,17.16,1,""
t-CONTENT-M-02,content,medium_coupling,team,deepseek-v4-flash,1,0.7144,True,1238,3018,4256,33.64,3,""
t-CROSS-H-03,cross_dept,high_coupling,single,deepseek-v4-flash,0,0.42,False,716,8192,8908,71.68,1,"content空，疑似被max_tokens截断（completion_tokens=8192 / max=8192）"
t-CROSS-H-03,cross_dept,high_coupling,team,deepseek-v4-flash,0,0.92,True,6780,7078,13858,68.84,4,""
t-CROSS-H-03,cross_dept,high_coupling,single,deepseek-v4-flash,1,0.92,True,716,7427,8143,60.07,1,""
t-CROSS-H-03,cross_dept,high_coupling,team,deepseek-v4-flash,1,0.92,True,5644,6457,12101,64.28,4,""
t-CROSS-L-01,cross_dept,low_coupling,single,deepseek-v4-flash,0,0.62,False,477,637,1114,5.06,1,""
t-CROSS-L-01,cross_dept,low_coupling,team,deepseek-v4-flash,0,0.495,False,1561,1118,2679,8.83,3,""
t-CROSS-L-01,cross_dept,low_coupling,single,deepseek-v4-flash,1,0.62,False,477,560,1037,3.71,1,""
t-CROSS-L-01,cross_dept,low_coupling,team,deepseek-v4-flash,1,0.495,False,1627,908,2535,8.07,3,""
t-CROSS-M-02,cross_dept,medium_coupling,single,deepseek-v4-flash,0,0.8054,True,518,3475,3993,30.74,1,""
t-CROSS-M-02,cross_dept,medium_coupling,team,deepseek-v4-flash,0,0.6978,False,1515,10096,11611,98.1,3,"技术分析师: content空，疑似被max_tokens截断（completion_tokens=8192 / max=8192）"
t-CROSS-M-02,cross_dept,medium_coupling,single,deepseek-v4-flash,1,0.8054,True,518,3602,4120,30.19,1,""
t-CROSS-M-02,cross_dept,medium_coupling,team,deepseek-v4-flash,1,0.6978,False,3360,9878,13238,87.11,3,""
t-DATA-H-03,data,high_coupling,single,deepseek-v4-flash,0,0.92,True,3719,1091,4810,8.08,1,""
t-DATA-H-03,data,high_coupling,team,deepseek-v4-flash,0,0.92,True,11306,5666,16972,42.44,3,""
t-DATA-H-03,data,high_coupling,single,deepseek-v4-flash,1,0.92,True,3719,3262,6981,22.91,1,""
t-DATA-H-03,data,high_coupling,team,deepseek-v4-flash,1,0.92,True,11217,10325,21542,70.32,3,""
t-DATA-L-01,data,low_coupling,single,deepseek-v4-flash,0,0.92,True,2535,5687,8222,40.05,1,""
t-DATA-L-01,data,low_coupling,team,deepseek-v4-flash,0,0.5367,False,5045,4597,9642,30.6,2,""
t-DATA-L-01,data,low_coupling,single,deepseek-v4-flash,1,0.7533,True,2535,4537,7072,31.43,1,""
t-DATA-L-01,data,low_coupling,team,deepseek-v4-flash,1,0.5367,False,5056,3156,8212,22.62,2,""
t-DATA-M-02,data,medium_coupling,single,deepseek-v4-flash,0,0.8137,True,569,1569,2138,13.96,1,""
t-DATA-M-02,data,medium_coupling,team,deepseek-v4-flash,0,0.8137,True,2089,1514,3603,15.64,3,""
t-DATA-M-02,data,medium_coupling,single,deepseek-v4-flash,1,0.8137,True,569,1600,2169,14.15,1,""
t-DATA-M-02,data,medium_coupling,team,deepseek-v4-flash,1,0.9137,True,2089,2653,4742,25.58,3,""
t-DOC-H-03,document,high_coupling,single,deepseek-v4-flash,0,0.8932,True,654,4310,4964,37.72,1,""
t-DOC-H-03,document,high_coupling,team,deepseek-v4-flash,0,0.7771,True,7358,8541,15899,74.39,4,""
t-DOC-H-03,document,high_coupling,single,deepseek-v4-flash,1,0.7504,True,654,8191,8845,70.76,1,""
t-DOC-H-03,document,high_coupling,team,deepseek-v4-flash,1,0.42,False,7733,19223,26956,170.69,4,"冲突消解员: content空，疑似被max_tokens截断（completion_tokens=8193 / max=8192）"
t-DOC-L-01,document,low_coupling,single,deepseek-v4-flash,0,0.92,True,914,2913,3827,18.92,1,""
t-DOC-L-01,document,low_coupling,team,deepseek-v4-flash,0,0.92,True,3664,5515,9179,39.38,3,""
t-DOC-L-01,document,low_coupling,single,deepseek-v4-flash,1,0.92,True,914,3931,4845,28.75,1,""
t-DOC-L-01,document,low_coupling,team,deepseek-v4-flash,1,0.92,True,3494,6777,10271,52.36,3,""
t-DOC-M-02,document,medium_coupling,single,deepseek-v4-flash,0,0.92,True,415,3342,3757,30.66,1,""
t-DOC-M-02,document,medium_coupling,team,deepseek-v4-flash,0,0.7325,True,6251,16253,22504,153.57,3,""
t-DOC-M-02,document,medium_coupling,single,deepseek-v4-flash,1,0.92,True,415,1808,2223,16.62,1,""
t-DOC-M-02,document,medium_coupling,team,deepseek-v4-flash,1,0.7325,True,5194,12523,17717,121.19,3,""
t-PROJ-H-03,project,high_coupling,single,deepseek-v4-flash,0,0.42,False,1100,8192,9292,66.5,1,"content空，疑似被max_tokens截断（completion_tokens=8192 / max=8192）"
t-PROJ-H-03,project,high_coupling,team,deepseek-v4-flash,0,0.42,False,5073,31415,36488,248.6,4,"P1需求员: content空，疑似被max_tokens截断（completion_tokens=8192 / max=8192）; P3需求员: content空，疑似被max_tokens截断（completion_tokens=8192 / max=8192）; 排期冲突消解员: content空，疑似被max_tokens截断（completion_tokens=8192 / max=8192）"
t-PROJ-H-03,project,high_coupling,single,deepseek-v4-flash,1,0.42,False,1100,8192,9292,68.99,1,"content空，疑似被max_tokens截断（completion_tokens=8192 / max=8192）"
t-PROJ-H-03,project,high_coupling,team,deepseek-v4-flash,1,0.42,False,6298,15597,21895,119.62,4,"排期冲突消解员: content空，疑似被max_tokens截断（completion_tokens=8192 / max=8192）"
