task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,elapsed,llm_calls,error
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,0,0.92,True,588,6562,7150,56.76,1,""
t-CONTENT-H-03,content,high_coupling,team,deepseek-v4-flash,0,0.7169,False,11291,15447,26738,152.07,4,""
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,1,0.82,True,588,4170,4758,40.85,1,""
t-CONTENT-H-03,content,high_coupling,team,deepseek-v4-flash,1,0.7137,True,14363,9303,23666,99.85,4,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,0,0.9122,True,550,11392,11942,94.65,1,""
t-CONTENT-L-01,content,low_coupling,team,deepseek-v4-flash,0,0.92,True,4552,8118,12670,68.36,3,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,1,0.9122,True,550,8902,9452,81.35,1,""
t-CONTENT-L-01,content,low_coupling,team,deepseek-v4-flash,1,0.9122,True,3973,8549,12522,75.56,3,""
t-CONTENT-M-02,content,medium_coupling,single,deepseek-v4-flash,0,0.82,True,423,8652,9075,81.67,1,""
t-CONTENT-M-02,content,medium_coupling,team,deepseek-v4-flash,0,0.7137,False,4685,4658,9343,48.02,3,""
t-CONTENT-M-02,content,medium_coupling,single,deepseek-v4-flash,1,0.72,True,423,9160,9583,79.37,1,""
t-CONTENT-M-02,content,medium_coupling,team,deepseek-v4-flash,1,0.82,True,4556,6709,11265,65.93,3,""
t-CROSS-H-03,cross_dept,high_coupling,single,deepseek-v4-flash,0,0.92,True,755,8615,9370,73.14,1,""
t-CROSS-H-03,cross_dept,high_coupling,team,deepseek-v4-flash,0,0.92,True,8839,13868,22707,144.82,4,""
t-CROSS-H-03,cross_dept,high_coupling,single,deepseek-v4-flash,1,0.92,True,755,7540,8295,59.12,1,""
t-CROSS-H-03,cross_dept,high_coupling,team,deepseek-v4-flash,1,0.8992,True,9466,15288,24754,165.92,4,""
t-CROSS-L-01,cross_dept,low_coupling,single,deepseek-v4-flash,0,0.62,False,516,1710,2226,14.01,1,""
t-CROSS-L-01,cross_dept,low_coupling,team,deepseek-v4-flash,0,0.5575,False,4213,4315,8528,38.45,3,""
t-CROSS-L-01,cross_dept,low_coupling,single,deepseek-v4-flash,1,0.92,True,516,4407,4923,36.42,1,""
t-CROSS-L-01,cross_dept,low_coupling,team,deepseek-v4-flash,1,0.5575,False,3099,2367,5466,20.91,3,""
t-CROSS-M-02,cross_dept,medium_coupling,single,deepseek-v4-flash,0,0.7881,True,557,4413,4970,42.76,1,""
t-CROSS-M-02,cross_dept,medium_coupling,team,deepseek-v4-flash,0,0.729,True,5160,6131,11291,58.06,3,""
t-CROSS-M-02,cross_dept,medium_coupling,single,deepseek-v4-flash,1,0.8054,True,557,7146,7703,59.55,1,""
t-CROSS-M-02,cross_dept,medium_coupling,team,deepseek-v4-flash,1,0.6943,False,3969,5765,9734,54.08,3,""
