task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,cached_tokens,elapsed,llm_calls,error
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,0,1.0,True,576,8013,8589,512,66.04,1,""
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,1,1.0,True,576,3807,4383,512,38.23,1,""
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,2,1.0,True,576,2845,3421,512,25.51,1,""
t-CONTENT-H-03,content,high_coupling,single_bon_k,deepseek-v4-flash,0,1.0,True,10197,36639,46836,0,336.32,5,""
t-CONTENT-H-03,content,high_coupling,single_bon_k,deepseek-v4-flash,1,1.0,True,11114,25440,36554,0,258.21,5,""
t-CONTENT-H-03,content,high_coupling,single_bon_k,deepseek-v4-flash,2,1.0,True,11030,30671,41701,0,259.86,5,""
t-CONTENT-H-03,content,high_coupling,single_refine_k,deepseek-v4-flash,0,1.0,True,9294,18469,27763,0,141.48,4,""
t-CONTENT-H-03,content,high_coupling,single_refine_k,deepseek-v4-flash,1,1.0,True,8946,29608,38554,0,229.47,4,""
t-CONTENT-H-03,content,high_coupling,single_refine_k,deepseek-v4-flash,2,1.0,True,9387,27000,36387,0,220.2,4,""
t-CONTENT-H-03,content,high_coupling,team_blackboard,deepseek-v4-flash,0,0.8438,False,5813,4951,10764,3584,51.34,4,""
t-CONTENT-H-03,content,high_coupling,team_blackboard,deepseek-v4-flash,1,0.5312,False,5539,2929,8468,3328,32.05,4,""
t-CONTENT-H-03,content,high_coupling,team_blackboard,deepseek-v4-flash,2,0.5312,False,4744,2962,7706,2304,33.73,4,""
t-CONTENT-H-03,content,high_coupling,team_concat,deepseek-v4-flash,0,1.0,True,5289,4967,10256,2688,47.55,4,""
t-CONTENT-H-03,content,high_coupling,team_concat,deepseek-v4-flash,1,1.0,True,6196,4036,10232,2176,41.25,4,""
t-CONTENT-H-03,content,high_coupling,team_concat,deepseek-v4-flash,2,1.0,True,5000,2873,7873,1920,32.45,4,""
t-CONTENT-H-03,content,high_coupling,team_integrator,deepseek-v4-flash,0,1.0,True,9510,7299,16809,3200,65.89,5,""
t-CONTENT-H-03,content,high_coupling,team_integrator,deepseek-v4-flash,1,1.0,True,7366,9381,16747,3072,75.83,5,""
t-CONTENT-H-03,content,high_coupling,team_integrator,deepseek-v4-flash,2,1.0,True,8058,7137,15195,3328,64.29,5,""
t-CONTENT-H-03,content,high_coupling,team_last,deepseek-v4-flash,0,0.5312,False,5440,4239,9679,2688,48.01,4,""
t-CONTENT-H-03,content,high_coupling,team_last,deepseek-v4-flash,1,0.5312,False,6122,3077,9199,2944,33.8,4,""
t-CONTENT-H-03,content,high_coupling,team_last,deepseek-v4-flash,2,0.5312,False,5305,3475,8780,3072,37.34,4,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,0,0.375,False,540,2817,3357,0,28.05,1,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,1,0.375,False,540,8721,9261,512,87.64,1,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,2,0.375,False,540,6817,7357,512,65.33,1,""
t-CONTENT-L-01,content,low_coupling,single_bon_k,deepseek-v4-flash,0,0.375,False,4717,17450,22167,0,189.21,4,""
t-CONTENT-L-01,content,low_coupling,single_bon_k,deepseek-v4-flash,1,0.5833,False,4894,14880,19774,0,154.64,4,""
t-CONTENT-L-01,content,low_coupling,single_bon_k,deepseek-v4-flash,2,0.375,False,4651,22455,27106,0,232.74,4,""
t-CONTENT-L-01,content,low_coupling,single_refine_k,deepseek-v4-flash,0,0.375,False,3402,10882,14284,0,100.59,3,""
t-CONTENT-L-01,content,low_coupling,single_refine_k,deepseek-v4-flash,1,0.375,False,3603,30473,34076,0,263.85,3,""
t-CONTENT-L-01,content,low_coupling,single_refine_k,deepseek-v4-flash,2,0.375,False,3226,6453,9679,0,59.48,3,""
t-CONTENT-L-01,content,low_coupling,team_blackboard,deepseek-v4-flash,0,0.5833,False,2343,3179,5522,1536,33.44,3,""
t-CONTENT-L-01,content,low_coupling,team_blackboard,deepseek-v4-flash,1,0.7917,False,2662,7004,9666,1664,63.11,3,""
t-CONTENT-L-01,content,low_coupling,team_blackboard,deepseek-v4-flash,2,0.375,False,2338,3329,5667,1536,32.52,3,""
t-CONTENT-L-01,content,low_coupling,team_concat,deepseek-v4-flash,0,0.5833,False,2671,5406,8077,1664,52.44,3,""
t-CONTENT-L-01,content,low_coupling,team_concat,deepseek-v4-flash,1,0.7917,False,3086,4786,7872,1152,42.1,3,""
t-CONTENT-L-01,content,low_coupling,team_concat,deepseek-v4-flash,2,0.7917,False,2516,3418,5934,1664,34.07,3,""
t-CONTENT-L-01,content,low_coupling,team_integrator,deepseek-v4-flash,0,1.0,True,4619,10173,14792,768,91.01,4,""
t-CONTENT-L-01,content,low_coupling,team_integrator,deepseek-v4-flash,1,0.375,False,3712,6028,9740,1536,55.84,4,""
t-CONTENT-L-01,content,low_coupling,team_integrator,deepseek-v4-flash,2,1.0,True,3533,5497,9030,1152,54.79,4,""
t-CONTENT-L-01,content,low_coupling,team_last,deepseek-v4-flash,0,0.375,False,2236,1391,3627,1536,14.37,3,""
t-CONTENT-L-01,content,low_coupling,team_last,deepseek-v4-flash,1,0.5833,False,2331,4895,7226,1152,49.11,3,""
t-CONTENT-L-01,content,low_coupling,team_last,deepseek-v4-flash,2,0.375,False,2605,4317,6922,1664,42.15,3,""
