task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,elapsed,llm_calls,error
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-pro,0,0.92,True,588,3446,4034,61.31,1,""
t-CONTENT-H-03,content,high_coupling,team,deepseek-v4-pro,0,0.7137,False,7421,11650,19071,200.84,4,""
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-pro,1,0.92,True,588,7275,7863,112.02,1,""
t-CONTENT-H-03,content,high_coupling,team,deepseek-v4-pro,1,0.7169,False,9460,9050,18510,159.86,4,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-pro,0,0.8263,True,550,2286,2836,42.52,1,""
t-CONTENT-L-01,content,low_coupling,team,deepseek-v4-pro,0,0.8653,True,4214,11300,15514,169.16,3,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-pro,1,0.9122,True,550,2723,3273,50.15,1,""
t-CONTENT-L-01,content,low_coupling,team,deepseek-v4-pro,1,0.7481,False,3966,12015,15981,181.15,3,""
t-CONTENT-M-02,content,medium_coupling,single,deepseek-v4-pro,0,0.7825,True,423,6204,6627,100.58,1,""
t-CONTENT-M-02,content,medium_coupling,team,deepseek-v4-pro,0,0.8519,True,3136,12079,15215,181.53,3,""
t-CONTENT-M-02,content,medium_coupling,single,deepseek-v4-pro,1,0.82,True,423,7116,7539,121.53,1,""
t-CONTENT-M-02,content,medium_coupling,team,deepseek-v4-pro,1,0.7832,True,2902,11056,13958,182.02,3,""
t-CROSS-H-03,cross_dept,high_coupling,single,deepseek-v4-pro,0,0.92,True,755,6027,6782,91.63,1,""
t-CROSS-H-03,cross_dept,high_coupling,team,deepseek-v4-pro,0,0.8992,True,8653,15746,24399,266.85,4,""
t-CROSS-H-03,cross_dept,high_coupling,single,deepseek-v4-pro,1,0.92,True,755,8081,8836,120.8,1,""
t-CROSS-H-03,cross_dept,high_coupling,team,deepseek-v4-pro,1,0.92,True,9367,19070,28437,288.69,4,""
t-CROSS-L-01,cross_dept,low_coupling,single,deepseek-v4-pro,0,0.62,False,516,2128,2644,28.64,1,""
t-CROSS-L-01,cross_dept,low_coupling,team,deepseek-v4-pro,0,0.5575,False,2940,3859,6799,63.97,3,""
t-CROSS-L-01,cross_dept,low_coupling,single,deepseek-v4-pro,1,0.62,False,516,5169,5685,76.2,1,""
t-CROSS-L-01,cross_dept,low_coupling,team,deepseek-v4-pro,1,0.62,False,4492,7162,11654,128.49,3,""
t-CROSS-M-02,cross_dept,medium_coupling,single,deepseek-v4-pro,0,0.7881,True,557,5234,5791,88.01,1,""
t-CROSS-M-02,cross_dept,medium_coupling,team,deepseek-v4-pro,0,0.6978,False,4921,13576,18497,225.94,3,""
t-CROSS-M-02,cross_dept,medium_coupling,single,deepseek-v4-pro,1,0.861,True,557,5697,6254,88.17,1,""
t-CROSS-M-02,cross_dept,medium_coupling,team,deepseek-v4-pro,1,0.7117,True,5201,7966,13167,131.95,3,""
t-DATA-H-03,data,high_coupling,single,deepseek-v4-pro,0,0.92,True,3758,3854,7612,53.18,1,""
t-DATA-H-03,data,high_coupling,team,deepseek-v4-pro,0,0.92,True,12944,10198,23142,133.56,3,""
t-DATA-H-03,data,high_coupling,single,deepseek-v4-pro,1,0.92,True,3758,4369,8127,58.61,1,""
t-DATA-H-03,data,high_coupling,team,deepseek-v4-pro,1,0.92,True,12562,9144,21706,111.64,3,""
t-DATA-L-01,data,low_coupling,single,deepseek-v4-pro,0,0.7533,True,2574,15358,17932,187.28,1,""
t-DATA-L-01,data,low_coupling,team,deepseek-v4-pro,0,0.62,False,5199,9930,15129,117.27,2,""
t-DATA-L-01,data,low_coupling,single,deepseek-v4-pro,1,0.7533,True,2574,10841,13415,123.98,1,""
t-DATA-L-01,data,low_coupling,team,deepseek-v4-pro,1,0.4533,False,5197,10052,15249,120.43,2,""
t-DATA-M-02,data,medium_coupling,single,deepseek-v4-pro,0,0.9137,True,608,3060,3668,51.63,1,""
t-DATA-M-02,data,medium_coupling,team,deepseek-v4-pro,0,0.9075,True,3779,9955,13734,144.93,3,""
t-DATA-M-02,data,medium_coupling,single,deepseek-v4-pro,1,0.9137,True,608,4020,4628,66.47,1,""
t-DATA-M-02,data,medium_coupling,team,deepseek-v4-pro,1,0.9075,True,4710,10306,15016,149.04,3,""
t-DOC-H-03,document,high_coupling,single,deepseek-v4-pro,0,0.9155,True,693,7010,7703,96.51,1,""
t-DOC-H-03,document,high_coupling,team,deepseek-v4-pro,0,0.92,True,12010,17439,29449,228.59,4,""
t-DOC-H-03,document,high_coupling,single,deepseek-v4-pro,1,0.9155,True,693,7198,7891,85.58,1,""
