task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,elapsed,llm_calls,error
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,0,0.92,True,591,4434,5025,34.55,1,""
t-CONTENT-H-03,content,high_coupling,team,deepseek-v4-flash,0,0.72,False,8546,8660,17206,91.46,4,""
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,1,0.92,True,591,7288,7879,57.84,1,""
t-CONTENT-H-03,content,high_coupling,team,deepseek-v4-flash,1,0.5513,False,8048,6632,14680,73.03,4,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,0,0.8184,True,553,6788,7341,60.31,1,""
t-CONTENT-L-01,content,low_coupling,team,deepseek-v4-flash,0,0.92,True,3167,2952,6119,30.9,3,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,1,0.8653,True,553,9336,9889,95.34,1,""
t-CONTENT-L-01,content,low_coupling,team,deepseek-v4-flash,1,0.9122,True,3700,8955,12655,80.07,3,""
t-CONTENT-M-02,content,medium_coupling,single,deepseek-v4-flash,0,0.82,True,426,5211,5637,52.45,1,""
t-CONTENT-M-02,content,medium_coupling,team,deepseek-v4-flash,0,0.6825,False,2187,2906,5093,31.65,3,""
t-CONTENT-M-02,content,medium_coupling,single,deepseek-v4-flash,1,0.92,True,426,5965,6391,54.66,1,""
t-CONTENT-M-02,content,medium_coupling,team,deepseek-v4-flash,1,0.7832,True,2705,2400,5105,27.11,3,""
t-CROSS-H-03,cross_dept,high_coupling,single,deepseek-v4-flash,0,0.92,True,758,3196,3954,28.82,1,""
t-CROSS-H-03,cross_dept,high_coupling,team,deepseek-v4-flash,0,0.8731,True,7244,11791,19035,121.86,4,""
t-CROSS-H-03,cross_dept,high_coupling,single,deepseek-v4-flash,1,0.92,True,758,5997,6755,55.69,1,""
t-CROSS-H-03,cross_dept,high_coupling,team,deepseek-v4-flash,1,0.795,False,7580,12213,19793,129.77,4,""
t-CROSS-L-01,cross_dept,low_coupling,single,deepseek-v4-flash,0,0.62,False,519,886,1405,6.88,1,""
t-CROSS-L-01,cross_dept,low_coupling,team,deepseek-v4-flash,0,0.495,False,1634,486,2120,4.71,3,""
t-CROSS-L-01,cross_dept,low_coupling,single,deepseek-v4-flash,1,0.62,False,519,988,1507,6.75,1,""
t-CROSS-L-01,cross_dept,low_coupling,team,deepseek-v4-flash,1,0.495,False,1610,992,2602,9.12,3,""
t-CROSS-M-02,cross_dept,medium_coupling,single,deepseek-v4-flash,0,0.8054,True,560,4125,4685,34.28,1,""
t-CROSS-M-02,cross_dept,medium_coupling,team,deepseek-v4-flash,0,0.8054,False,2861,2960,5821,28.5,3,""
t-CROSS-M-02,cross_dept,medium_coupling,single,deepseek-v4-flash,1,0.8436,True,560,1647,2207,15.23,1,""
t-CROSS-M-02,cross_dept,medium_coupling,team,deepseek-v4-flash,1,0.7881,True,2863,2738,5601,26.68,3,""
t-DATA-H-03,data,high_coupling,single,deepseek-v4-flash,0,0.92,True,3761,3088,6849,20.99,1,""
t-DATA-H-03,data,high_coupling,team,deepseek-v4-flash,0,0.92,True,11466,1878,13344,17.66,3,""
t-DATA-H-03,data,high_coupling,single,deepseek-v4-flash,1,0.92,True,3761,1344,5105,9.08,1,""
t-DATA-H-03,data,high_coupling,team,deepseek-v4-flash,1,0.92,True,11679,6918,18597,56.89,3,""
t-DATA-L-01,data,low_coupling,single,deepseek-v4-flash,0,0.92,True,2577,8317,10894,54.98,1,""
t-DATA-L-01,data,low_coupling,team,deepseek-v4-flash,0,0.5158,False,5135,2421,7556,19.12,2,""
t-DATA-L-01,data,low_coupling,single,deepseek-v4-flash,1,0.92,True,2577,5895,8472,45.99,1,""
t-DATA-L-01,data,low_coupling,team,deepseek-v4-flash,1,0.37,False,5129,2372,7501,18.9,2,""
t-DATA-M-02,data,medium_coupling,single,deepseek-v4-flash,0,0.8137,True,611,2147,2758,22.68,1,""
t-DATA-M-02,data,medium_coupling,team,deepseek-v4-flash,0,0.8012,True,2444,1489,3933,17.03,3,""
t-DATA-M-02,data,medium_coupling,single,deepseek-v4-flash,1,0.8137,True,611,4105,4716,39.65,1,""
t-DATA-M-02,data,medium_coupling,team,deepseek-v4-flash,1,0.8137,True,2477,3357,5834,35.09,3,""
t-DOC-H-03,document,high_coupling,single,deepseek-v4-flash,0,0.9155,True,696,3365,4061,32.12,1,""
t-DOC-H-03,document,high_coupling,team,deepseek-v4-flash,0,0.8486,True,8797,5916,14713,61.73,4,""
t-DOC-H-03,document,high_coupling,single,deepseek-v4-flash,1,0.8932,True,696,5233,5929,46.85,1,""
t-DOC-H-03,document,high_coupling,team,deepseek-v4-flash,1,0.8843,True,6576,7235,13811,69.32,4,""
t-DOC-L-01,document,low_coupling,single,deepseek-v4-flash,0,0.92,True,956,2783,3739,20.89,1,""
t-DOC-L-01,document,low_coupling,team,deepseek-v4-flash,0,0.92,True,3521,3315,6836,27.87,3,""
t-DOC-L-01,document,low_coupling,single,deepseek-v4-flash,1,0.92,True,956,3429,4385,28.77,1,""
t-DOC-L-01,document,low_coupling,team,deepseek-v4-flash,1,0.92,True,4009,3154,7163,28.02,3,""
t-DOC-M-02,document,medium_coupling,single,deepseek-v4-flash,0,0.8536,True,457,6437,6894,57.81,1,""
t-DOC-M-02,document,medium_coupling,team,deepseek-v4-flash,0,0.6661,True,5643,6889,12532,72.58,3,""
t-DOC-M-02,document,medium_coupling,single,deepseek-v4-flash,1,0.8341,True,457,3264,3721,33.9,1,""
t-DOC-M-02,document,medium_coupling,team,deepseek-v4-flash,1,0.6075,False,3302,6961,10263,69.29,3,""
t-PROJ-H-03,project,high_coupling,single,deepseek-v4-flash,0,0.6658,True,1142,16381,17523,121.29,1,""
t-PROJ-H-03,project,high_coupling,team,deepseek-v4-flash,0,0.6658,True,7646,16819,24465,134.45,4,""
t-PROJ-H-03,project,high_coupling,single,deepseek-v4-flash,1,0.8658,True,1142,9231,10373,63.74,1,""
t-PROJ-H-03,project,high_coupling,team,deepseek-v4-flash,1,0.5825,False,6851,16432,23283,127.33,4,""
t-PROJ-L-01,project,low_coupling,single,deepseek-v4-flash,0,0.5471,False,989,1732,2721,14.48,1,""
t-PROJ-L-01,project,low_coupling,team,deepseek-v4-flash,0,0.495,False,3405,1224,4629,10.77,3,""
t-PROJ-L-01,project,low_coupling,single,deepseek-v4-flash,1,0.5575,False,989,1097,2086,8.75,1,""
t-PROJ-L-01,project,low_coupling,team,deepseek-v4-flash,1,0.5575,False,3421,1289,4710,10.88,3,""
t-PROJ-M-02,project,medium_coupling,single,deepseek-v4-flash,0,0.92,True,1333,6472,7805,50.29,1,""
t-PROJ-M-02,project,medium_coupling,team,deepseek-v4-flash,0,0.9122,True,5126,4097,9223,38.2,3,""
t-PROJ-M-02,project,medium_coupling,single,deepseek-v4-flash,1,0.795,True,1333,1450,2783,13.25,1,""
t-PROJ-M-02,project,medium_coupling,team,deepseek-v4-flash,1,0.795,False,5332,5630,10962,50.74,3,""
