task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,cached_tokens,elapsed,llm_calls,error
t-CONTENT-H-03,content,high_coupling,single_refine_k,deepseek-v4-flash,0,0.6948,False,9817,13705,23522,0,99.42,4,""
t-CONTENT-H-03,content,high_coupling,single_refine_k,deepseek-v4-flash,1,1.0,True,8972,14277,23249,0,99.68,4,""
t-CONTENT-H-03,content,high_coupling,single_refine_k,deepseek-v4-flash,2,0.6948,False,10052,25156,35208,0,188.94,4,""
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,0,1.0,True,655,5869,6524,512,50.74,1,""
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,1,0.6948,False,655,7628,8283,640,64.34,1,""
t-CONTENT-H-03,content,high_coupling,single,deepseek-v4-flash,2,1.0,True,655,7660,8315,640,67.86,1,""
t-CONTENT-H-03,content,high_coupling,team_blackboard,deepseek-v4-flash,0,0.5385,False,5576,5331,10907,2176,52.57,4,""
t-CONTENT-H-03,content,high_coupling,team_blackboard,deepseek-v4-flash,1,0.226,False,5708,3602,9310,2176,36.98,4,""
t-CONTENT-H-03,content,high_coupling,team_blackboard,deepseek-v4-flash,2,0.3823,False,6000,6246,12246,2176,58.99,4,""
t-CONTENT-H-03,content,high_coupling,team_concat,deepseek-v4-flash,0,0.6948,False,5340,7482,12822,2048,63.15,4,""
t-CONTENT-H-03,content,high_coupling,team_concat,deepseek-v4-flash,1,0.6948,False,5618,3941,9559,2048,37.8,4,""
t-CONTENT-H-03,content,high_coupling,team_concat,deepseek-v4-flash,2,0.625,False,5850,3371,9221,2176,31.97,4,""
t-CONTENT-H-03,content,high_coupling,team_integrator,deepseek-v4-flash,0,0.6948,False,8802,9251,18053,2048,81.81,5,""
t-CONTENT-H-03,content,high_coupling,team_integrator,deepseek-v4-flash,1,0.6948,False,8458,8405,16863,2176,67.79,5,""
t-CONTENT-H-03,content,high_coupling,team_integrator,deepseek-v4-flash,2,0.6948,False,8190,6287,14477,2048,53.24,5,""
t-CONTENT-H-03,content,high_coupling,team_last,deepseek-v4-flash,0,0.1562,False,5886,10442,16328,2944,99.29,4,""
t-CONTENT-H-03,content,high_coupling,team_last,deepseek-v4-flash,1,0.226,False,5746,2948,8694,2304,30.66,4,""
t-CONTENT-H-03,content,high_coupling,team_last,deepseek-v4-flash,2,0.226,False,5930,5198,11128,2176,52.77,4,""
t-CONTENT-L-01,content,low_coupling,single_refine_k,deepseek-v4-flash,0,0.4167,False,4630,8924,13554,0,77.21,3,""
t-CONTENT-L-01,content,low_coupling,single_refine_k,deepseek-v4-flash,1,0.375,False,3304,12809,16113,0,115.16,3,""
t-CONTENT-L-01,content,low_coupling,single_refine_k,deepseek-v4-flash,2,0.375,False,3080,8143,11223,0,70.98,3,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,0,0.375,False,592,4567,5159,512,44.09,1,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,1,0.375,False,592,8233,8825,512,86.16,1,""
t-CONTENT-L-01,content,low_coupling,single,deepseek-v4-flash,2,0.375,False,592,6676,7268,512,57.67,1,""
t-CONTENT-L-01,content,low_coupling,team_blackboard,deepseek-v4-flash,0,0.5833,False,2680,2859,5539,1152,27.53,3,""
t-CONTENT-L-01,content,low_coupling,team_blackboard,deepseek-v4-flash,1,0.5833,False,2383,3372,5755,1152,31.54,3,""
t-CONTENT-L-01,content,low_coupling,team_blackboard,deepseek-v4-flash,2,0.7917,False,2403,1605,4008,1152,15.86,3,""
t-CONTENT-L-01,content,low_coupling,team_concat,deepseek-v4-flash,0,0.2083,False,2606,2225,4831,1152,21.0,3,""
t-CONTENT-L-01,content,low_coupling,team_concat,deepseek-v4-flash,1,0.0,False,2520,1884,4404,1152,18.44,3,""
t-CONTENT-L-01,content,low_coupling,team_concat,deepseek-v4-flash,2,0.5833,False,2785,2593,5378,1152,24.57,3,""
